DatGeracaoConjuntoDados;IdeMdl;IdeTipMdl;DscSitLinTms;IdeLinTms;IdeSbeOri;IdeSbeDsn;NomLinTms;NumCcuLinTms;QtdTorLinTms;NumEtnLinTms;IdeOnsSbeOrigem;NomSubestacaoOrigem;NomLongoSubestacaoOrigem;SigUFSubestacaoOrigem;IdeOnsSbeDestino;NomSubestacaoDestino;NomLongoSubestacaoDestino;SigUFSubestacaoDestino
2024-07-09;19717;4;Ativa;1367;302;298;LT 230 kV ITAGUACU /B.COQUEIROS GO;1;98;45,5000000000;GOUHIG;ITAGUACU;USI ITAGUACU    GO;GO;GOUHBC;B.COQUEIROS;USI BARRA DOS COQUEIROS   GO;GO
2024-07-09;19729;4;Ativa;1363;2796;2794;LT 500 kV ORIXIMINA /JURUPARI PA;1;633;374,0000000000;PAORX;ORIXIMINA;SUB ORIXIMINA PA;PA;PAJRP;JURUPARI;SUB JURUPARI PA;PA
2024-07-09;19730;4;Ativa;1363;2796;2794;LT 500 kV ORIXIMINA /JURUPARI PA;2;633;374,0000000000;PAORX;ORIXIMINA;SUB ORIXIMINA PA;PA;PAJRP;JURUPARI;SUB JURUPARI PA;PA
2024-07-09;19731;4;Ativa;1364;2794;2793;LT 230 kV JURUPARI /LARANJAL PA/AP;1;239;95,0000000000;PAJRP;JURUPARI;SUB JURUPARI PA;PA;APLAL;LARANJAL;SUB LARANJAL AP;AP
2024-07-09;19732;4;Ativa;1364;2794;2793;LT 230 kV JURUPARI /LARANJAL PA/AP;2;239;95,0000000000;PAJRP;JURUPARI;SUB JURUPARI PA;PA;APLAL;LARANJAL;SUB LARANJAL AP;AP
2024-07-09;19733;4;Ativa;1365;2793;2792;LT 230 kV LARANJAL /MACAPA AP;1;482;244,0000000000;APLAL;LARANJAL;SUB LARANJAL AP;AP;APMCP;MACAPA;SUB MACAPA AP;AP
2024-07-09;19734;4;Ativa;1365;2793;2792;LT 230 kV LARANJAL /MACAPA AP;2;482;244,0000000000;APLAL;LARANJAL;SUB LARANJAL AP;AP;APMCP;MACAPA;SUB MACAPA AP;AP
2024-07-09;19820;4;Ativa;1368;2796;2797;LT 500 kV ORIXIMINA /SILVES PA/AM;1;595;333,4300000000;PAORX;ORIXIMINA;SUB ORIXIMINA PA;PA;AMITR;SILVES;SUB SILVES AM;AM
2024-07-09;19821;4;Ativa;1368;2796;2797;LT 500 kV ORIXIMINA /SILVES PA/AM;2;595;333,4300000000;PAORX;ORIXIMINA;SUB ORIXIMINA PA;PA;AMITR;SILVES;SUB SILVES AM;AM
2024-07-09;19822;4;Ativa;1369;2797;2798;LT 500 kV SILVES /LECHUGA AM;1;442;223,7500000000;AMITR;SILVES;SUB SILVES AM;AM;AMCRR;LECHUGA;SUB LECHUGA (MANAUS) AM;AM
2024-07-09;19823;4;Ativa;1369;2797;2798;LT 500 kV SILVES /LECHUGA AM;2;442;223,7500000000;AMITR;SILVES;SUB SILVES AM;AM;AMCRR;LECHUGA;SUB LECHUGA (MANAUS) AM;AM
2024-07-09;19906;4;Ativa;1370;823;2799;LT 230 kV BRASNORTE /PARECIS MT;1;214;111,1300000000;MTMGG;BRASNORTE;SUB BRASNORTE     MT;MT;MTPIS;PARECIS;SUB PARECIS MT;MT
2024-07-09;19907;4;Ativa;1370;823;2799;LT 230 kV BRASNORTE /PARECIS MT;2;214;111,1300000000;MTMGG;BRASNORTE;SUB BRASNORTE     MT;MT;MTPIS;PARECIS;SUB PARECIS MT;MT
2024-07-09;19956;4;Ativa;1012;2161;2305;LT 440 kV ILHA SOLTEIRA /MIRASSOL II SP;1;524;210,6300000000;SPILS;ILHA SOLTEIRA;USI ILHA SOLTEIRA    SP;SP;SPMSOL;MIRASSOL II;SUB MIRASSOL II   SP;SP
2024-07-09;19958;4;Ativa;930;1851;2305;LT 440 kV ARARAQUARA /MIRASSOL II SP;1;390;166,3200000000;SPARA;ARARAQUARA;SUB ARARAQUARA    SP;SP;SPMSOL;MIRASSOL II;SUB MIRASSOL II   SP;SP
2024-07-09;19960;4;Ativa;1012;2161;2305;LT 440 kV ILHA SOLTEIRA /MIRASSOL II SP;2;524;210,6300000000;SPILS;ILHA SOLTEIRA;USI ILHA SOLTEIRA    SP;SP;SPMSOL;MIRASSOL II;SUB MIRASSOL II   SP;SP
2024-07-09;19962;4;Ativa;930;1851;2305;LT 440 kV ARARAQUARA /MIRASSOL II SP;2;390;166,3200000000;SPARA;ARARAQUARA;SUB ARARAQUARA    SP;SP;SPMSOL;MIRASSOL II;SUB MIRASSOL II   SP;SP
2024-07-09;19977;4;Ativa;1000;2125;2208;LT 440 kV GETULINA /JUPIA SP;1;518;221,5000000000;SPGET;GETULINA;SUB GETULINA    SP;SP;SPJUP;JUPIA;USI JUPIA    SP;SP
2024-07-09;19979;4;Ativa;952;1895;2125;LT 440 kV BAURU /GETULINA SP;1;219;91,5600000000;SPBAU;BAURU;SUB BAURU    SP;SP;SPGET;GETULINA;SUB GETULINA    SP;SP
2024-07-09;19981;4;Ativa;1000;2125;2208;LT 440 kV GETULINA /JUPIA SP;2;518;221,5000000000;SPGET;GETULINA;SUB GETULINA    SP;SP;SPJUP;JUPIA;USI JUPIA    SP;SP
2024-07-09;19983;4;Ativa;952;1895;2125;LT 440 kV BAURU /GETULINA SP;2;219;91,5600000000;SPBAU;BAURU;SUB BAURU    SP;SP;SPGET;GETULINA;SUB GETULINA    SP;SP
2024-07-09;19992;4;Ativa;928;1851;1863;LT 440 kV ARARAQUARA /ARARAS SP;1;148;109,3300000000;SPARA;ARARAQUARA;SUB ARARAQUARA    SP;SP;SPARS;ARARAS;SUB ARARAS     SP;SP
2024-07-09;19994;4;Desativada;933;1863;2441;LT 440 kV ARARAS /SANTO ANGELO SP;1;155;188,3000000000;SPARS;ARARAS;SUB ARARAS     SP;SP;SPSAA;SANTO ANGELO;SUB SANTO ANGELO     SP;SP
2024-07-09;20432;4;Ativa;1409;362;600;LT 500 kV B.DESPACHO 3 /OURO PRETO 2 MG;1;368;181,0000000000;MGBDE3;B.DESPACHO 3;SUB BOM DESPACHO 3   MG;MG;MGOPR2;OURO PRETO 2;SUB OURO PRETO 2     MG;MG
2024-07-09;20447;4;Ativa;1410;998;2839;LT 230 kV RIB.GONCALVES /BALSAS PI/MA;1;233;94,2400000000;PIRGO;RIB.GONCALVES;SUB RIBEIRO GONCALVES   PI;PI;MABAL;BALSAS;SUB BALSAS     MA;MA
2024-07-09;20494;4;Ativa;1411;326;329;LT 500 kV SAO LUIS II /MIRANDA II MA;1;225;105,5000000000;MALD;SAO LUIS II;SUB SAO LUIS II   MA;MA;MAMR;MIRANDA II;SUB MIRANDA II    MA;MA
2024-07-09;20495;4;Ativa;1412;329;330;LT 500 kV MIRANDA II /P.DUTRA MA;1;422;195,1600000000;MAMR;MIRANDA II;SUB MIRANDA II    MA;MA;MAPD;P.DUTRA;SUB PRESIDENTE DUTRA    MA;MA
2024-07-09;20498;4;Ativa;1411;326;329;LT 500 kV SAO LUIS II /MIRANDA II MA;2;240;105,5800000000;MALD;SAO LUIS II;SUB SAO LUIS II   MA;MA;MAMR;MIRANDA II;SUB MIRANDA II    MA;MA
